id,daycare_centers,places,inhabitants,inhabitants_age_below_6
01100101,1,39,3580,165
01100103,7,429,5790,287
01100104,2,300,4889,255
01100205,2,200,2917,112
01100206,1,180,1876,85
01100207,4,485,8844,452
01100308,6,614,7297,366
01100309,8,824,12651,593
01100310,1,200,10181,464
01100311,3,568,9787,457
01100312,4,439,10727,591
01100313,4,380,11590,572
01100414,1,54,5513,452
01100415,6,367,13348,647
01100416,11,922,13523,752
01200517,4,177,3924,173
01200518,6,222,7096,402
01200519,10,763,9592,434
01200520,3,174,9513,418
01200521,4,146,5259,253
01200522,12,445,11521,521
01200623,10,575,10990,547
01200624,5,351,6942,596
01200625,7,223,6905,324
01200626,7,406,6079,255
01200628,4,268,3281,178
01200629,4,301,6039,193
01300730,8,583,8060,476
01300731,8,421,8922,495
01300732,8,610,10078,642
01300733,15,647,11684,586
01300834,13,955,14258,898
01300835,10,791,10821,535
01300836,11,740,14947,791
01400937,7,551,10966,518
01400938,11,700,9681,454
01400939,16,386,6149,335
01400940,3,153,7094,497
01400941,2,115,3863,184
01400942,11,568,8789,433
01401043,10,567,7627,391
01401044,8,573,10226,566
01401045,6,365,5531,309
01401046,4,141,8869,429
01401047,14,583,8206,384
01401048,13,531,9520,440
01401049,7,320,6637,308
02100101,6,374,7225,354
02100102,9,712,8660,477
02100103,2,162,5470,311
02100104,4,476,5550,300
02100105,4,330,9263,485
02100106,2,41,4813,228
02200207,2,52,2666,206
02200208,5,316,5745,273
02200209,14,648,10957,542
02200210,11,962,12350,534
02200211,21,587,14595,655
02200212,10,428,8340,465
02200213,16,586,10004,463
02300314,12,836,7085,247
02300315,12,406,8209,348
02300316,7,232,4160,169
02300417,7,358,8301,354
02300418,15,695,7629,345
02300419,13,642,10396,439
02400520,4,329,5904,317
02400521,8,685,8712,529
02400522,6,485,11394,606
02400623,5,661,14037,785
02400624,12,591,11887,530
02400625,1,68,1328,74
02500726,6,150,9175,481
02500727,11,682,6519,355
02500728,9,250,10073,549
02500729,2,465,5407,309
02500830,2,201,4071,223
02500831,10,488,7857,364
02500832,8,433,9541,603
02500833,3,57,10045,477
02500834,12,812,11299,572
02500835,6,302,8820,544
02500836,4,432,5137,405
03100101,7,479,4720,321
03100102,1,70,3505,245
03100103,6,795,9449,583
03200204,3,161,2423,97
03200205,6,233,9167,463
03200206,16,1078,6842,381
03200207,14,740,11799,596
03200308,4,315,5261,266
03200309,2,110,5484,295
03200310,9,686,8088,464
03300411,12,917,11764,804
03300412,3,215,5226,248
03300413,3,292,3195,167
03300514,2,134,6869,282
03300515,1,120,49,0
03300516,4,305,9560,647
03400618,2,146,4783,234
03400619,14,1034,10596,541
03400721,18,670,11895,679
03400722,7,574,3807,196
03400723,9,635,7507,512
03400724,8,521,8494,527
03400725,5,488,7645,423
03400826,3,492,7222,385
03400827,4,194,9703,469
03400828,7,646,4934,266
03400829,6,530,5968,268
03400830,2,79,9293,485
03500932,5,452,6659,461
03500933,10,631,7686,368
03500934,7,479,10363,634
03500935,12,480,6799,374
03500936,8,454,10052,541
03501037,4,599,8487,433
03501038,2,217,7506,381
03601139,5,296,4040,241
03601140,3,155,6016,294
03601141,12,597,7057,393
03601142,14,562,10860,499
03601243,7,643,6990,365
03601244,4,154,7614,358
03601245,6,711,13511,628
03601346,3,101,5888,284
03601347,16,887,9495,456
03601348,7,184,7470,343
03601449,5,745,9928,373
03601450,1,195,5449,437
03601451,3,288,6527,335
03601452,3,275,4746,246
03601453,9,656,3391,197
03701554,9,388,11453,608
03701555,4,330,7258,345
03701556,7,556,8598,530
03701657,3,252,3215,136
03701658,11,426,8285,354
03701659,8,417,9477,514
03701660,16,634,12614,592
04100101,5,512,11768,587
04100102,3,280,7878,478
04200203,3,70,1456,46
04200204,1,50,3325,163
04200205,1,55,2522,64
04200206,1,46,2848,134
04200207,6,270,2996,99
04200308,7,568,6113,265
04200309,2,100,6895,306
04200310,4,383,7533,345
04200311,4,106,7424,299
04300412,3,379,4539,302
04300413,15,387,9973,466
04300414,7,345,10581,481
04300415,7,452,6258,268
04300416,15,470,11646,589
04300517,9,309,9468,394
04300518,10,600,6682,399
04300619,10,474,9007,396
04300620,4,195,4118,261
04300621,11,543,10941,540
04300622,2,174,5269,301
04300623,7,241,12187,528
04300624,5,279,9314,424
04400726,3,377,5417,249
04400727,5,323,8322,396
04400728,4,177,3189,156
04400729,1,30,2840,175
04400830,4,179,8457,539
04400831,1,110,1543,45
04400832,4,467,6998,234
04400833,2,115,3901,158
04400834,3,130,3384,121
04400835,5,357,10164,415
04500936,3,136,5621,259
04500937,2,43,7653,286
04500938,13,374,8281,377
04500939,7,631,6761,327
04501041,5,495,5420,235
04501042,2,87,3664,184
04501043,2,156,10999,497
04501044,5,217,5328,251
04501045,4,135,9363,388
04501146,3,87,4744,266
04501147,8,227,5452,220
04501148,4,215,4564,240
04501149,9,247,9878,467
04501150,6,330,3016,123
04501151,13,581,7420,338
04501152,8,369,6861,235
04501153,10,198,7563,352
05100101,6,652,4504,276
05100103,2,125,6107,529
05100104,5,478,6960,556
05100105,3,81,7689,332
05100206,1,90,3623,166
05100208,8,636,11137,746
05100209,5,566,11935,750
05100210,3,170,7911,465
05100211,5,438,6210,277
05100313,2,250,7231,512
05100314,7,466,7493,452
05100315,5,543,7334,474
05100316,8,563,10505,573
05100317,3,271,4458,349
05200419,2,59,1632,46
05200420,5,373,5910,282
05200421,2,208,4360,255
05200422,2,195,1201,105
05200423,2,218,6809,400
05200524,2,320,3380,187
05200525,3,309,2464,135
05200526,2,160,5806,326
05200527,7,847,12030,886
05200528,2,290,7291,409
05200629,6,526,8357,504
05200630,12,440,10042,536
05200631,6,286,8679,473
05200634,5,340,4319,135
05300735,2,243,4520,572
05300736,3,358,3575,234
05300737,7,394,11913,705
05300839,5,328,8314,495
05300840,1,115,503,28
05300841,4,310,4605,267
05400942,8,516,3691,138
05400943,4,410,10533,544
05400945,3,191,3671,173
06100101,7,376,6912,245
06100102,8,410,9048,463
06100103,5,186,6186,318
06100204,4,317,6803,315
06100205,4,338,9988,521
06100206,2,65,7751,348
06100207,7,433,8168,405
06100208,6,309,7065,353
06100209,4,183,9322,477
06100210,3,46,5004,248
06200311,1,18,4873,201
06200312,6,399,6285,289
06200313,5,266,7395,385
06200314,9,545,7210,399
06200315,4,315,6890,418
06200316,3,321,5788,287
06200317,2,135,6257,305
06200419,3,414,4539,238
06200420,2,218,7403,379
06200421,6,451,8417,345
06200422,3,225,7009,291
06200423,5,459,8606,386
06300524,1,85,5624,246
06300525,3,205,5820,272
06300526,6,472,3350,142
06300527,5,456,8541,398
06300528,7,547,10947,442
06300629,5,169,6988,268
06300630,6,502,5667,315
06300631,3,165,2881,117
06300632,6,541,13695,615
06300633,12,863,11955,469
06300634,4,161,8285,366
06400735,7,345,10188,405
06400736,4,472,5139,221
06400737,7,369,11337,449
06400838,1,55,7341,289
06400839,6,622,5370,232
06400840,5,195,7080,236
06400841,2,100,6191,256
06400842,5,516,4773,251
06400843,3,213,4690,196
06400844,6,462,7263,352
07100101,9,393,9794,386
07100102,4,338,8696,365
07100103,4,299,7897,387
07100204,9,557,10425,492
07100205,2,146,5177,214
07100206,7,309,8355,449
07200307,3,120,10549,452
07200308,9,554,10698,586
07200409,13,677,9300,420
07200410,6,291,5538,343
07200411,1,133,2741,163
07200412,4,221,2611,271
07200413,9,444,7708,342
07200414,9,371,3778,203
07300515,3,180,6961,333
07300516,8,380,8896,417
07300517,16,743,10082,613
07300618,12,669,9243,463
07300619,8,567,12219,690
07400720,8,443,11668,549
07400721,4,391,7639,331
07400822,3,108,3291,224
07400823,5,164,9690,526
07400824,7,529,7387,450
07400825,15,683,7213,386
07400826,2,121,5110,224
07400927,7,553,11415,693
07400928,2,155,3965,268
07501029,6,454,8544,535
07501030,6,339,8753,427
07501031,3,396,9124,440
07501032,4,405,6284,452
07501133,5,445,8254,414
07501134,4,459,10548,572
07501135,2,209,2257,121
07601236,8,736,10335,590
07601237,5,373,4785,244
07601238,1,60,2877,156
07601339,2,106,5721,334
07601340,6,448,6416,378
07601341,2,133,2225,126
07601442,6,254,10408,545
07601443,9,897,10849,513
07601544,6,419,9262,621
07601545,11,741,8570,481
07601546,2,248,6977,336
07601547,2,48,3828,224
07601548,1,60,2896,155
08100101,8,384,4626,196
08100102,8,301,8181,417
08100103,8,293,7205,370
08100104,9,485,6699,301
08100105,5,495,6338,406
08100206,7,207,9350,441
08100207,7,723,7442,396
08100208,14,654,11955,565
08100209,15,705,8834,448
08100310,8,324,7560,336
08100311,5,153,7076,286
08100312,15,878,11499,566
08100313,1,17,3740,176
08100314,5,330,7930,345
08100415,7,285,6388,334
08100416,8,356,6577,367
08100417,8,437,9569,511
08100418,9,371,9193,469
08100419,4,505,7192,464
08100520,1,130,5737,426
08100521,5,572,9457,570
08200622,5,282,5860,404
08200623,3,288,6692,413
08200624,5,438,8988,511
08200725,1,33,2524,117
08200726,7,431,6109,331
08200727,7,383,8115,426
08200728,1,152,1206,38
08200729,1,40,1869,94
08200730,4,324,3373,94
08200831,5,454,8275,383
08200832,6,630,12116,775
08200833,3,350,9255,496
08300934,5,285,12623,846
08300935,5,466,7611,442
08301036,3,448,7448,512
08301037,5,410,11049,748
08401139,1,123,4092,219
08401140,2,151,2670,127
08401241,3,221,8319,417
08401242,4,338,6893,368
08401243,7,759,10078,610
08401244,2,170,7315,384
08401245,4,245,3720,246
08401246,2,197,7840,477
09100101,11,825,13453,778
09100202,2,60,4280,249
09100203,3,315,7473,296
09100304,9,555,12007,633
09100305,4,107,4338,236
09100407,5,619,8670,491
09100408,7,344,8870,536
09100409,3,269,4096,230
09200510,3,300,8024,475
09200511,14,674,13207,743
09200512,4,438,4433,228
09200613,10,460,10704,715
09200614,6,496,3804,193
09200715,6,385,4259,423
09200716,6,440,8373,435
09200717,2,153,9785,513
09200818,2,345,4330,219
09200819,7,458,8588,528
09300920,11,767,13253,921
09300922,5,560,6013,402
09300923,4,378,9100,744
09301024,4,373,3776,368
09301025,5,296,11919,608
09301126,7,537,8376,526
09301227,2,68,1852,83
09301228,2,66,2635,152
09401329,6,605,11009,509
09401330,1,70,1916,83
09401431,3,287,5992,328
09401433,2,190,4478,158
09401534,8,505,7494,485
09401635,3,235,7059,311
09501736,3,417,4677,268
09501737,12,736,14359,622
09501838,9,549,11138,631
09501939,5,231,6829,461
09501940,3,191,2759,170
09501941,3,275,2937,160
09502042,2,111,4315,248
09502043,3,378,9147,347
10100101,2,260,5837,353
10100102,4,220,3680,224
10100103,2,280,8110,503
10100104,6,684,7521,458
10100205,1,25,1221,133
10100206,5,497,11809,755
10100207,2,404,8320,402
10100208,4,337,10330,542
10100209,5,753,9642,637
10100210,6,682,10868,594
10100311,1,120,2670,117
10100312,8,1073,16216,840
10100313,3,355,4981,266
10100314,2,249,6455,291
10100315,2,228,8228,562
10100316,3,199,3696,271
10200417,6,561,8063,598
10200418,2,355,7367,511
10200419,1,180,4357,347
10200420,4,350,9010,744
10200421,1,20,1757,93
10200422,6,317,7368,590
10200423,5,797,6138,430
10200524,4,353,11814,914
10200525,3,420,5380,409
10200526,5,458,6241,451
10200627,1,136,3689,220
10200628,5,625,6514,493
10200629,6,603,9187,466
10200630,1,220,6627,324
10300731,4,156,7926,333
10300732,7,691,7237,487
10300733,5,302,5190,356
10300734,5,504,10606,487
10400835,7,685,7832,365
10400836,2,89,3981,186
10400837,3,150,7870,326
10400938,4,253,10234,503
10400939,5,243,4529,225
10400940,3,389,5847,225
10400941,8,554,9743,456
11100101,3,290,3356,139
11100102,2,110,3095,332
11100203,4,640,9394,653
11100204,4,487,7463,456
11100205,3,273,6304,390
11100206,5,620,7807,562
11100307,5,658,11702,636
11100308,4,512,9886,603
11100309,2,290,6569,421
11200410,6,636,10413,772
11200411,3,305,6917,345
11200512,4,438,3999,239
11200513,3,377,10466,637
11200514,5,1018,16289,1027
11200515,3,222,5002,342
11300616,3,516,5992,314
11300617,2,259,4407,264
11300618,1,65,3850,241
11300619,5,710,8889,337
11300620,6,582,11346,583
11300721,3,262,6848,437
11300722,3,312,10326,605
11300723,2,416,2581,197
11300724,4,298,4372,243
11300725,6,483,10202,661
11300826,5,786,10508,568
11400927,5,299,4173,268
11400928,4,141,2933,236
11400929,11,750,16901,1043
11400930,4,451,4760,241
11400931,2,270,7064,281
11401032,1,180,6292,355
11401033,3,447,6890,420
11401034,2,205,3379,174
11401135,3,429,11011,832
11401136,6,610,8336,320
11401137,1,300,9004,503
11501238,4,360,4899,386
11501339,9,704,10574,752
11501340,6,584,11246,610
11501341,14,738,10103,771
12100101,2,410,11188,721
12100102,6,452,9980,540
12100103,5,451,7592,412
12100204,7,377,9554,550
12100205,12,696,13988,806
12100206,2,183,4780,264
12200307,1,25,2804,156
12200308,4,400,5868,298
12200309,7,445,11286,640
12200310,7,455,8284,528
12200411,1,32,294,17
12200412,1,187,6518,335
12200413,4,338,8103,460
12200414,1,15,5440,275
12200515,9,656,11322,567
12400616,3,185,6113,291
12400617,5,397,6704,280
12400618,2,106,3789,201
12400619,4,216,7726,348
12400720,2,149,8480,361
12400721,9,345,7891,320
12400722,5,415,8517,327
12400723,10,515,8090,382
12500824,6,350,9681,410
12500825,5,314,7079,365
12500926,6,512,5181,234
12500927,3,157,6874,368
12500928,8,413,5158,292
12500929,4,247,5104,215
12500930,4,432,9873,444
12601031,6,501,3333,144
12601032,1,205,6250,475
12601133,1,133,11448,749
12601134,9,999,16006,1152
12601235,4,473,10610,717
12601236,4,234,3190,121
